四日市,三重県,159,276,136.4563,34.9849
大山田,三重県,156,282,136.2835,34.7662
嬉野,三重県,158,287,136.3692,34.547
宮川,三重県,157,292,136.3293,34.358
尾鷲,三重県,154,299,136.1689,34.0637
度会,三重県,162,292,136.5866,34.3532
志摩,三重県,167,294,136.8216,34.2544
松阪,三重県,160,287,136.5033,34.5424
紀宝,三重県,150,306,135.9969,33.7644
芸濃,三重県,159,280,136.4245,34.8224
久御山,京都府,145,278,135.7461,34.8983
亀岡,京都府,140,275,135.4846,35.0469
京都,京都府,145,276,135.7304,35.0094
伊根,京都府,135,258,135.2496,35.7101
福知山,京都府,132,268,135.1334,35.313
網野,京都府,130,259,135.0268,35.6814
美山,京都府,141,269,135.5508,35.2685
野田川,京都府,132,263,135.1243,35.5243
伊万里,佐賀県,26,318,129.8798,33.2656
富士,佐賀県,33,315,130.2329,33.4098
東脊振,佐賀県,36,316,130.4046,33.3654
白石,佐賀県,30,320,130.1046,33.1806
鎮西,佐賀県,26,312,129.8877,33.508
三原,兵庫県,126,293,134.7941,34.2937
上郡,兵庫県,116,278,134.3284,34.8995
出石,兵庫県,127,265,134.8621,35.4574
加古川,兵庫県,126,280,134.8078,34.8164
加美,兵庫県,128,273,134.9036,35.101
南光,兵庫県,118,274,134.4234,35.0671
夢前,兵庫県,123,275,134.6701,35.0322
山東,兵庫県,128,269,134.9071,35.2925
新宮,兵庫県,120,277,134.5423,34.9313
村岡,兵庫県,121,264,134.5953,35.4697
東条,兵庫県,131,278,135.0844,34.9082
波賀,兵庫県,120,270,134.5237,35.2193
相生,兵庫県,119,281,134.4792,34.7935
篠山,兵庫県,135,274,135.2811,35.0708
香住,兵庫県,123,261,134.6566,35.6208
三笠,北海道,270,74,141.8978,43.23
上川,北海道,288,59,142.7656,43.8546
上磯,北海道,244,108,140.6331,41.8374
下川東,北海道,288,47,142.7656,44.3207
下川西,北海道,285,48,142.6303,44.2921
中富良野,北海道,283,70,142.5245,43.3841
中川,北海道,273,39,142.0528,44.6617
中標津,北海道,333,66,144.9665,43.5508
中頓別,北海道,277,32,142.2247,44.9387
佐呂間,北海道,312,53,143.9455,44.0813
倶知安,北海道,248,81,140.8223,42.95
共和,北海道,244,80,140.6219,42.9758
別海東,北海道,336,70,145.1224,43.3978
